,Driver_id,Order_id,Step,Point,Grid,Reposition_Point,Reposition_Grid
265,D265,Idle,2635,"(40.789953046698194, -73.97230333019724)",892a1008823ffff,"(40.789953046698194, -73.97230333019724)",892a1008823ffff
266,D266,Idle,2636,"(40.78018590607859, -73.94194174927813)",892a100f24fffff,"(40.78018590607859, -73.94194174927813)",892a100f24fffff
267,D267,Idle,2637,"(40.83034326953093, -73.94600642596188)",892a100aa3bffff,"(40.83034326953093, -73.94600642596188)",892a100aa3bffff
268,D268,Idle,2638,"(40.81201051296796, -73.93887430298544)",892a100ab63ffff,"(40.81201051296796, -73.93887430298544)",892a100ab63ffff
269,D269,Idle,2639,"(40.822241279757954, -73.9521258822242)",892a1008c83ffff,"(40.822241279757954, -73.9521258822242)",892a1008c83ffff
270,D270,Idle,2640,"(40.830457288488525, -73.9417232043568)",892a100aa33ffff,"(40.830457288488525, -73.9417232043568)",892a100aa33ffff
271,D271,Idle,2641,"(40.7184684703352, -73.97594049799939)",892a100d377ffff,"(40.7184684703352, -73.97594049799939)",892a100d377ffff
272,D272,Idle,2642,"(40.825056063839185, -73.94580356251505)",892a100aa2fffff,"(40.825056063839185, -73.94580356251505)",892a100aa2fffff
273,D273,Idle,2643,"(40.84384759745185, -73.93580270043314)",892a100aa93ffff,"(40.84384759745185, -73.93580270043314)",892a100aa93ffff
274,D274,Idle,2644,"(40.78748316882287, -73.96578151465053)",892a10089cbffff,"(40.78748316882287, -73.96578151465053)",892a10089cbffff
275,D275,Idle,2645,"(40.766232840412854, -73.96923955883975)",892a100d68bffff,"(40.766232840412854, -73.96923955883975)",892a100d68bffff
276,D276,Idle,2646,"(40.79265297399344, -73.97026627390055)",892a1008833ffff,"(40.79265297399344, -73.97026627390055)",892a1008833ffff
277,D277,Idle,2647,"(40.76916140919526, -73.95864807193213)",892a100892fffff,"(40.76916140919526, -73.95864807193213)",892a100892fffff
278,D278,Idle,2648,"(40.744987995699226, -73.97269448397236)",892a100d04bffff,"(40.744987995699226, -73.97269448397236)",892a100d04bffff
279,D279,Idle,2649,"(40.82528393098364, -73.9372380785016)",892a100abcbffff,"(40.82528393098364, -73.9372380785016)",892a100abcbffff
280,D280,Idle,2650,"(40.76307233809356, -73.98838407088253)",892a100d64bffff,"(40.76307233809356, -73.98838407088253)",892a100d64bffff
281,D281,Idle,2651,"(40.78794126621236, -73.94866415438945)",892a1008993ffff,"(40.78794126621236, -73.94866415438945)",892a1008993ffff
